# Test:	2025_04_01_17_23_32_onchip_Itaiboss_C2_MZI1
# User:	Sheri
# Start:	2025-04-01 17:18:22.268232
# Finish:	2025-04-01 17:20:34.888674
# Device ID :	No device selected
# Device Coordinates (gds):	0,0
# Device Coordinates (motor):	11625.941239621776,24421.431191712985
# Chip Test start:	NA
# Settings:
"# Laser:	 Keysight Technologies,81608A,DE56500953,V4.019 (3.21) (V3.996)"
"# Detector:	 Agilent Technologies,81635A,DE38604554,V4.06(71686)"
# Source Meter:	 NA
# Sweep Speed	:NA nm/s
# Number of Datasets:	 NA
# Laser Power:	 NA dBm
# Wavelength step-size:	 NA
# Start Wavlength	:NA
# Stop Wavlength	:NA
# Stitch Count	:NA
# Init Range	:placeholder
# New sweepplot behaviour 	: NA
# Turn off laser when done	:placeholder
# Skip sweep if finealign fails	:placeholder
Metric Tag	:,value
Current (A),0.0,0.00025,0.0005,0.00075,0.001,0.00125,0.0015,0.00175,0.002,0.0022500000000000003,0.0025,0.00275,0.003,0.0032500000000000003,0.0035,0.00375,0.004,0.00425,0.0045000000000000005,0.00475,0.005,0.00525,0.0055,0.00575,0.006,0.00625,0.006500000000000001,0.00675,0.007,0.00725,0.0075,0.00775,0.008,0.00825,0.0085,0.00875,0.009000000000000001,0.00925,0.0095,0.00975,0.01,0.01025,0.0105,0.010750000000000001,0.011,0.01125,0.0115,0.01175,0.012,0.01225,0.0125,0.012750000000000001,0.013000000000000001,0.01325,0.0135,0.01375,0.014,0.01425,0.0145,0.014750000000000001,0.015,0.01525,0.0155,0.01575,0.016,0.01625,0.0165,0.01675,0.017,0.01725,0.0175,0.017750000000000002,0.018000000000000002,0.01825,0.0185,0.01875,0.019,0.01925,0.0195,0.01975,0.02,0.02025,0.0205,0.02075,0.021,0.02125,0.021500000000000002,0.021750000000000002,0.022,0.02225,0.0225,0.02275,0.023,0.02325,0.0235,0.02375,0.024,0.02425,0.0245,0.02475,0.025,0.02525,0.025500000000000002,0.025750000000000002,0.026000000000000002,0.02625,0.0265,0.02675,0.027,0.02725,0.0275,0.02775,0.028,0.02825,0.0285,0.02875,0.029,0.02925,0.029500000000000002,0.029750000000000002,0.03,0.03025,0.0305,0.03075,0.031,0.03125,0.0315,0.03175,0.032,0.03225,0.0325,0.03275,0.033,0.03325,0.0335,0.03375,0.034,0.03425,0.0345,0.03475,0.035,0.035250000000000004,0.035500000000000004,0.035750000000000004,0.036000000000000004,0.03625,0.0365,0.03675,0.037,0.03725,0.0375,0.03775,0.038,0.03825,0.0385,0.03875,0.039,0.03925,0.0395,0.03975,0.04,0.04025,0.0405,0.04075,0.041,0.04125,0.0415,0.04175,0.042,0.04225,0.0425,0.04275,0.043000000000000003,0.043250000000000004,0.043500000000000004,0.043750000000000004,0.044,0.04425,0.0445,0.04475,0.045,0.04525,0.0455,0.04575,0.046,0.04625,0.0465,0.04675,0.047,0.04725,0.0475,0.04775,0.048,0.04825,0.0485,0.04875,0.049,0.04925,0.0495,0.04975,0.05
channel 0 (Power (mW)),1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1.640166736823996e-10,4.820820931560291e-10,8.59282565064086e-10,1.1217937085756745e-09,1.6722723152295516e-09,2.123044024468687e-09,2.756646006823926e-09,3.2523030019149187e-09,3.4407569834156424e-09,3.862789124505383e-09,3.9413318238365116e-09,3.6072895194593173e-09,3.3551659060157e-09,3.2529995259993724e-09,2.4627084469865467e-09,2.5214827418463946e-09,2.1975663683399937e-09,2.6031248616191553e-09,3.052783459858434e-09,3.6835027633744203e-09,4.503042024275779e-09,4.652603038744067e-09,5.1952326420925505e-09,5.830234190858791e-09,5.83902049996887e-09,6.317903671917131e-09,5.641804072695303e-09,4.509537471515642e-09,3.533751452431689e-09,3.939843763505552e-09,3.3461776953207388e-09,3.402044577973763e-09,3.5751066344438117e-09,3.3737041859862135e-09,3.8162340309224715e-09,4.84675425225282e-09,6.237305268896961e-09,7.12247609005462e-09,8.253002943424e-09,8.434124353430712e-09,7.728976734472221e-09,6.194967038901321e-09,5.70610816649359e-09,4.917926117478375e-09,3.872424864257345e-09,2.9065848128713505e-09,2.290603922064267e-09,1.9420884257458483e-09,2.1124478678696566e-09,3.1608508251362525e-09,4.3429517060326025e-09,5.538816789678727e-09,5.504463547278229e-09,5.294049528159034e-09,4.499673477674901e-09,4.063113928644127e-09,3.69417104518672e-09,4.2203551586272115e-09,4.156712619977313e-09,3.5761934219112e-09,2.7105536019781832e-09,2.622998244927631e-09,3.4383968477856957e-09,4.4041895285678e-09,4.885961043992768e-09,5.543946109245194e-09,6.36920166554592e-09,8.040610042549918e-09,9.530331340655358e-09,9.534128477900283e-09,8.390734899101361e-09,6.559292531339593e-09,5.075583770162407e-09,4.702523775734251e-09,4.685716403673503e-09,4.3071698680879416e-09,4.854125494194881e-09,6.188636864465192e-09,8.58082411234887e-09,9.46278559311408e-09,9.305998967236295e-09,1.02796185638301e-08,1.108184317659736e-08,1.2614934503187527e-08,1.5827634035156176e-08,1.8288159467882675e-08,1.8940611668125324e-08,1.7772233067355507e-08,1.810785465844932e-08,1.7526774538255775e-08,1.6326308551943793e-08,1.570333877448107e-08,1.277197324208609e-08,9.598646550289139e-09,7.758254107094343e-09,8.307531563399429e-09,1.0823133117015525e-08,1.518210532522111e-08,2.0360479422710418e-08,3.085382415343877e-08,3.635766636198985e-08,3.8779481673319854e-08,4.096274010168648e-08,3.907635082347337e-08,2.9769737143957038e-08,2.0520880909344397e-08,1.3888393088207316e-08,1.3134846446106019e-08,1.3060656274368465e-08,1.2248587246154071e-08,1.3339667357497998e-08,1.551229302825478e-08,1.8037859507962268e-08,1.8255679391176638e-08,1.8850896111171838e-08,1.8368597591925656e-08,1.7033229578620834e-08,1.6895459203200988e-08,1.9877053195903206e-08,2.554653482318932e-08,3.104588182310546e-08,3.8065452780416865e-08,4.1218292801117216e-08,3.6179869830238353e-08,3.055118077607661e-08,2.1549787897485475e-08,1.4362035636274776e-08,1.275466334376712e-08,1.5711765912657536e-08,1.822674006224361e-08,2.0673975629922987e-08,2.6874785089486283e-08,2.8595256728474786e-08,2.8462038383497968e-08,2.5237945605656056e-08,2.18042423257545e-08,1.52815356877837e-08,8.503309761620364e-09,6.806000865691138e-09,6.7186342570186355e-09,1.8819453164024218e-08,2.6555225886105304e-08,2.9062635829981284e-08,2.9482954349887187e-08,2.8477378001737485e-08,2.2428952955031305e-08,1.3816307803534084e-08,1.185864313688459e-08,1.357197340653448e-08,1.678123812277582e-08,1.7474026902366384e-08,1.4199204041116902e-08,9.505785278380321e-09,9.083599965790336e-09,1.3331990637446873e-08
channel 1 (Power (mW)),1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,2.23243591116018e-10,6.570720592054523e-10,8.612455679469594e-10,1.0103643173358926e-09,1.2648382772854885e-09,1.482466881669567e-09,1.5746534897458357e-09,1.7737565001733975e-09,2.0738817984173715e-09,2.1392768918076155e-09,2.1282664555488196e-09,2.2812191044505446e-09,2.364046419874484e-09,2.2634192230616203e-09,2.5141141942314403e-09,2.778215948015175e-09,2.491190849492664e-09,2.1397695352311854e-09,1.55987213478562e-09,1.4460256611155361e-09,1.5200364418944315e-09,1.3560790293164154e-09,1.7334128032315097e-09,1.7094287348093177e-09,1.8619370762167783e-09,2.019784336928273e-09,2.1430830430908632e-09,1.9631297293637325e-09,1.6754906167548634e-09,1.5987000921737077e-09,1.7412815563546148e-09,2.6029270698893305e-09,2.885173934545445e-09,3.678552850343391e-09,3.774600559994668e-09,4.854371395237165e-09,6.937835527787664e-09,7.9386563037027e-09,8.67445103724104e-09,8.320989998392873e-09,7.49992637419508e-09,6.6647674435548e-09,5.583763300902392e-09,3.5555680908052123e-09,2.005963377854461e-09,2.3253214618327786e-09,2.4211572665154107e-09,3.648648275394553e-09,5.1770218743488415e-09,6.657696601529384e-09,9.245725598932872e-09,1.0328398834365142e-08,1.1472920917071313e-08,1.110795214331988e-08,1.0148293055704554e-08,8.210847763608514e-09,7.509707124022154e-09,6.1649278743748416e-09,4.904728814857452e-09,4.145748955587569e-09,3.0601449626006603e-09,2.6756050070036883e-09,3.0826271563498603e-09,3.646263079591581e-09,5.269203844248765e-09,8.198001623755534e-09,7.599814641088763e-09,7.781171725079726e-09,7.411600466860496e-09,7.256195914593872e-09,7.178372649010124e-09,6.067181680539648e-09,4.839505636377336e-09,4.506755526835744e-09,5.186531262420852e-09,6.757919279419771e-09,1.0047731011009215e-08,1.2442939800697909e-08,1.3929483075126122e-08,1.5331688961100248e-08,1.608140538861141e-08,1.6725264707952447e-08,1.7054814496823747e-08,1.5772843709952697e-08,1.276006832904001e-08,1.0258101690634169e-08,9.443783015916317e-09,1.2186696626076926e-08,1.5435013014256497e-08,1.5371774328332335e-08,1.4453399267523867e-08,1.2654558563338424e-08,1.1250944957209158e-08,9.434176564807527e-09,6.739023952709556e-09,5.324771796855992e-09,4.11556059160543e-09,4.878844765475916e-09,5.449529400920755e-09,5.874149563083256e-09,6.8507481168449975e-09,7.735599915748831e-09,8.307378534422196e-09,8.164470045513956e-09,8.836921559154992e-09,9.802999940455531e-09,1.1535302821967443e-08,1.32319850034963e-08,1.4191588178258742e-08,1.6078036120420654e-08,1.76337630193743e-08,1.555489199706244e-08,1.4495393184582701e-08,1.4519477899123451e-08,1.6064862028212468e-08,1.539841428926115e-08,1.14449789963311e-08,9.019448850203881e-09,7.85581052287321e-09,7.0373961649762036e-09,8.47863617999449e-09,1.0938354644276745e-08,1.3585636802173124e-08,1.5798068769804337e-08,1.701265127747081e-08,1.7839472152344613e-08,1.8482852598042275e-08,2.0301307059286423e-08,2.222419300393954e-08,2.0777581762915463e-08,2.240025694536633e-08,2.513176557298158e-08,2.6625636585129724e-08,2.492407216281774e-08,2.0983745002253868e-08,1.686090960305591e-08,1.5859226437570136e-08,1.7447893431961055e-08,1.8271617706419235e-08,1.6344852283482423e-08,1.0676354849980254e-08,1.0305332291487046e-08,1.028338273457848e-08,1.1329924086896758e-08,1.5146036531955958e-08,1.4310934697932645e-08,1.1975509510780096e-08,1.0741377997118966e-08
channel 2 (Power (mW)),1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,2.2064647822889057e-10,3.5438799368794267e-10,6.020325876713226e-10,8.411684982581824e-10,1.0811700335752746e-09,1.309582913266394e-09,1.431805413153976e-09,1.2621035839826123e-09,1.1470992610641758e-09,7.766601100880401e-10,3.650270091098234e-10,3.3933604985724053e-12,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1.0109507528129829e-11,2.9260315189780857e-10,7.024218296849846e-10,4.79861602493009e-10,4.914530107543735e-10,4.4177791379586436e-10,9.533952854380993e-10,1.654203746133362e-09,2.6751491460350776e-09,2.477005665947411e-09,3.3068462263978476e-09,3.233218089773783e-09,3.286669238053111e-09,3.1528695341566358e-09,2.8303229962076903e-09,2.946727662014328e-09,3.009920327609566e-09,3.3960494078068263e-09,3.2509927426469275e-09,3.34431363887005e-09,3.3938215264642497e-09,4.105282046948168e-09,5.310812881791437e-09,6.390016800529877e-09,6.940120322726791e-09,7.6756824628076e-09,7.247279320988889e-09,7.981435346526274e-09,7.960878578659846e-09,9.65305987510463e-09,1.0480524076524647e-08,1.0974481228711552e-08,1.2204612640626898e-08,1.3348301267476668e-08,1.2144621944508636e-08,1.1210552064840567e-08,1.0126584710442499e-08,7.202943364374146e-09,5.4400137824672705e-09,4.452244437607228e-09,3.832533855714455e-09,4.317864405480353e-09,4.357215099822051e-09,5.088338559810628e-09,5.385090421873277e-09,5.904212773279991e-09,5.791592539500492e-09,5.061089297064468e-09,4.516250264384639e-09,5.142449079420742e-09,6.262503765403372e-09,7.592993008726234e-09,7.753825089807017e-09,7.502517204390009e-09,6.161763141514201e-09,5.724466260229103e-09,5.8054247486509274e-09,5.630694956131656e-09,4.011501879337577e-09,2.844448008250593e-09,3.142005927385009e-09,4.567683462975526e-09,5.675302305733666e-09,7.022665777854227e-09,7.238957051819028e-09,7.294323161198224e-09,7.240507371063561e-09,6.993893262076918e-09,6.361960963760803e-09,5.5724733478000384e-09,4.870000434923201e-09,4.853309639063636e-09,6.260326731772041e-09,7.157642449613094e-09,8.984150117394612e-09,1.1897124325314573e-08,1.1550425945028815e-08,9.038242719300719e-09,6.7907071207162995e-09,4.678385447118696e-09,3.755294489770946e-09,4.670495951943999e-09,5.162915296374727e-09,5.285048778566236e-09,4.497643203157263e-09,3.1978714372991714e-09,3.4315710871279086e-09,4.969423392450162e-09,6.747827937395223e-09,7.690011690065281e-09,7.178653644345227e-09,7.882700027465534e-09,9.63742474874763e-09,9.109530620395104e-09,6.3183983066465e-09,6.46292327203818e-09,5.964197275320994e-09,6.715540923922453e-09,9.110747278861466e-09,1.2702962031301276e-08,1.6831313142113524e-08,1.6717448731711093e-08,1.3980091053014342e-08,8.49219582142842e-09,6.300920499019581e-09,7.818528075336947e-09,1.0822684544981927e-08,1.2137101950827849e-08,1.2143503435000707e-08,1.6498140584192464e-08,2.201222787165414e-08,2.3532658907343235e-08,2.31146328740318e-08,2.2404589958200988e-08,1.7132036855233463e-08,1.535083487067469e-08,2.0567049816827716e-08,2.119200266969056e-08,2.2161084004803553e-08,2.3403186848779884e-08,1.960469093034621e-08,1.752661311144003e-08,1.999963178945571e-08,1.9086267222845086e-08,1.5568221429013587e-08,1.3356448686812183e-08,1.261205918186975e-08,1.0857804057263951e-08,7.234924443327384e-09,6.97904502232321e-09,7.563869024133468e-09,1.1504824549721888e-08,1.449485916439951e-08,1.2464618765439207e-08,9.574762275352393e-09
channel 3 (Power (mW)),1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,3.3125313717079624e-11,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1.199803156041941e-11,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,4.903768956578502e-11,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,6.252734668295024e-11,1.4535266538625214e-10,1.9124319913270034e-10,3.221825392197184e-10,3.5951912658313983e-10,5.330967071890125e-10,5.811322803362343e-10,7.589811676096707e-10,9.076303297099192e-10,1.0328493962871978e-09,9.704876206849343e-10,8.874890431408768e-10,8.378919153093472e-10,7.036391576068424e-10,6.423681506711951e-10,6.264551732783852e-10,5.078015240791094e-10,8.847671711973066e-10,1.1268367438429963e-09,1.2654208909794215e-09,1.5874242118342672e-09,1.6203730074744975e-09,1.7878784924438074e-09,1.801245878096577e-09,1.6197276649335807e-09,1.741381795463563e-09,1.6787383043939106e-09,1.4797624411364655e-09,1.2811441563779377e-09,1.3590079584494033e-09,1.0069339874003266e-09,1.226515384373788e-09,1.4834229715633414e-09,1.632021966786784e-09,2.4007282336716426e-09,2.6512153160603117e-09,2.8583473257870038e-09,3.0597503983659945e-09,3.7031644618339557e-09,3.774661399857849e-09,3.833284031626765e-09,2.9443945147982076e-09,2.4021271950212927e-09,1.4921998774972453e-09,1.5713430173981186e-09,1.5832372525965673e-09,1.7540339700014992e-09,1.9339132992745517e-09,2.319957345125573e-09,2.7544823888588356e-09,3.576111077962597e-09,4.650086161371937e-09,5.089135332797769e-09,5.192242886386881e-09,5.20042694696423e-09,5.039634031926871e-09,4.2531725277205e-09,3.429872688411052e-09,2.975541419385296e-09,2.6265882674033436e-09,2.0921556905516765e-09,1.6596021928682446e-09,1.1664577152628137e-09,1.0002026480185194e-09,1.410740063453441e-09,1.9709200156774016e-09,3.012915835400133e-09,4.922276434707029e-09,6.340901399563266e-09,8.443081859982171e-09,8.704503414897562e-09,7.2329256359849e-09,5.0552774957584606e-09,3.957108879458154e-09,3.449888031702646e-09,4.051277574314493e-09,5.675446054085488e-09,6.81291546147174e-09,5.414931910441045e-09,4.669958272178119e-09,4.021980864410662e-09,4.8811595091885915e-09,6.8609617794999395e-09,9.802480792647395e-09,1.1339502471378328e-08,1.0545495725810668e-08,8.523167040378444e-09,7.101138775123051e-09,4.9860427753057805e-09,3.2602582308196246e-09,3.5165516453323277e-09,4.173544034077961e-09,5.053438677624292e-09,5.059924072344099e-09,4.91741656642624e-09,3.859384070716611e-09,3.267999639857945e-09,3.369426599326539e-09,3.6215292732112134e-09,4.114404629703738e-09,4.744047185706746e-09,5.398759732854795e-09,5.6231024991893735e-09,5.064866468606622e-09,3.0890291031014365e-09,3.4198101739086738e-09,4.616055268171764e-09,5.204631669252536e-09,5.5398499273754626e-09,4.564329618794341e-09,4.834137509781064e-09,6.225453592045299e-09,7.025075563755952e-09,8.096605888260843e-09,8.365116621172828e-09,1.1037075159780838e-08,8.925611918690456e-09,5.288907846826495e-09,3.2395896291817713e-09,2.6466042160788377e-09,3.4003999412344865e-09,7.217653019339871e-09,1.1669762030143054e-08,1.2584616919579417e-08,9.052301284690489e-09,6.032967697963256e-09,2.880878881721159e-09,2.1312774995083418e-09,3.71367590598118e-09,7.878762333799403e-09,1.1853920220087976e-08,1.355005318958691e-08,1.2791191473159409e-08,1.2208154026376267e-08,8.796785453339582e-09,5.568279159237327e-09,3.863038175752116e-09,3.908273968592153e-09,5.385685636954099e-09,8.183498365338583e-09,1.0374448042759702e-08,1.1791226991540332e-08,1.0478714310409015e-08,8.678686487189684e-09,8.080514241044239e-09,6.197092804914431e-09,5.000794405038084e-09,3.810123035269504e-09,2.7578776798269253e-09,5.025357933217211e-09,7.49184873291304e-09,5.6481601192681335e-09,6.865623757427847e-09,8.803877682254241e-09,9.6384677817423e-09
wavelength (nm),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
voltage (V),0.573195,0.573456,0.839348,0.875205,0.898458,0.914972,0.928749,0.940182,0.950684,0.959906,0.968705,0.976941,0.984532,0.990413,0.992828,0.99889,1.005801,1.012309,1.018789,1.02492,1.036949,1.042859,1.048666,1.054217,1.059867,1.065243,1.070715,1.075956,1.081304,1.086431,1.091664,1.096649,1.096893,1.101793,1.106875,1.111787,1.116784,1.121591,1.131254,1.136065,1.140412,1.144445,1.14859,1.152602,1.156707,1.160599,1.164696,1.16871,1.172672,1.172825,1.176915,1.18087,1.184948,1.188912,1.192998,1.196916,1.204951,1.209022,1.213083,1.217026,1.221078,1.22501,1.229065,1.233012,1.237048,1.240954,1.244989,1.248905,1.249505,1.252956,1.256968,1.260885,1.264929,1.268839,1.272859,1.280808,1.284825,1.288729,1.292752,1.296686,1.300735,1.304616,1.308643,1.312537,1.314804,1.318726,1.322361,1.32254,1.32656,1.330384,1.334381,1.338219,1.346095,1.350081,1.354044,1.357888,1.361934,1.365744,1.36974,1.373645,1.377613,1.381511,1.385545,1.389525,1.392574,1.393414,1.397378,1.401243,1.405223,1.409106,1.413057,1.421008,1.425014,1.428895,1.432919,1.436782,1.440752,1.444616,1.448628,1.452554,1.456561,1.460392,1.46441,1.468395,1.472319,1.475464,1.476282,1.48022,1.48419,1.488086,1.49609,1.500142,1.504095,1.508038,1.512094,1.515984,1.520065,1.523979,1.528042,1.531912,1.535928,1.540016,1.543953,1.543966,1.547456,1.551356,1.555393,1.559238,1.567005,1.571112,1.575153,1.579047,1.583089,1.58701,1.590903,1.59493,1.598944,1.602794,1.606574,1.607141,1.610663,1.614634,1.618638,1.621658,1.625631,1.629561,1.637651,1.641573,1.645606,1.649467,1.653541,1.657354,1.661336,1.665387,1.669412,1.673356,1.677292,1.678877,1.681272,1.684996,1.689151,1.69298,1.696935,1.705081,1.708928,1.713054,1.717057,1.720971,1.725011,1.728985,1.733126,1.737209,1.74126,1.745137,1.745289,1.749487,1.753659,1.757726,1.761996,1.766227,1.770154
temperature (C),25.00148,25.00228,25.00271,25.00242,25.00183,24.99889,24.9971,24.99915,24.99945,25.0001,25.00088,25.0006,25.00295,25.00091,25.00164,24.99945,24.99884,24.99834,24.9993,24.99996,25.00093,25.00049,25.00007,24.99722,24.99962,25.00094,24.99697,24.99876,24.99816,24.99889,25.00109,25.00081,24.99885,24.99896,24.99918,24.99858,24.99832,24.99795,24.99975,24.99864,24.99985,25.00364,25.00149,25.00062,25.00129,24.99804,24.99844,24.99994,25.00083,25.00046,25.0,24.99958,24.99927,24.99619,25.00115,25.00178,25.00249,25.00129,25.00231,25.00213,25.00146,25.00242,25.0026,24.99977,24.99922,24.99862,24.99752,24.99544,24.99393,24.99607,24.99802,24.99636,24.99906,24.99845,25.00052,25.00151,25.00217,24.99994,25.00124,25.0002,24.99809,24.9948,24.99943,24.99846,25.00076,25.00458,25.00331,25.00466,25.00418,25.00504,25.00303,25.00139,25.00105,25.00112,25.00044,24.99935,24.99797,24.9965,24.99948,24.99887,24.99709,24.99366,24.99262,24.99452,24.99562,24.99906,25.00055,25.00099,25.00147,25.00231,25.00292,25.00593,25.00259,24.99844,24.99855,24.99854,24.99888,25.00115,25.00041,25.0007,25.0004,24.99985,25.00396,25.0047,25.00479,25.00326,25.00713,25.00303,25.00401,25.00194,25.00039,25.00189,25.00036,25.00017,25.00019,24.9992,24.99956,24.9977,24.99566,24.9954,24.99296,24.99282,24.99502,24.99551,24.99539,24.99625,24.99827,25.00173,25.00178,25.00204,25.00384,25.00506,25.00491,25.00545,25.00689,25.00268,25.00275,25.00168,25.0025,25.00147,25.00179,25.00142,25.00191,25.00169,24.99994,25.00009,24.99878,24.99917,24.9983,24.99674,24.99487,24.99724,24.99591,24.99373,24.99673,24.99566,24.99505,24.99711,24.99939,24.99973,25.00196,25.00336,25.00419,25.00246,25.00409,25.00461,25.0062,25.00464,25.00214,25.00301,25.00302,25.00109,24.99946,25.00144,25.00112,25.00139,25.00014,24.99897,25.00095,24.99825,24.9978
